name;vicinity;geometry;place_id;rating;user_ratings_total;formatted_phone_number;website;Colonna1;Colonna2;Email
A 3 minuti dal Mare;Via Francesco Mottola, 2° traversa, n.2, Tropea;{'location': {'lat': 38.67181069999999, 'lng': 15.8902372}, 'viewport': {'northeast': {'lat': 38.67324153029149, 'lng': 15.8914884302915}, 'southwest': {'lat': 38.67054356970849, 'lng': 15.88879046970849}}};ChIJuS9JXyRxFRMRIO8Tq6qWQPQ;5;2;;;1;2483;x
A casa di Alberto;Via Sibilla Bartolomeo, 6, Monopoli;{'location': {'lat': 40.959473, 'lng': 17.2869619}, 'viewport': {'northeast': {'lat': 40.9607866802915, 'lng': 17.2883767802915}, 'southwest': {'lat': 40.9580887197085, 'lng': 17.2856788197085}}};ChIJ83aGodXKRxMRyNF3DwxHVos;47;44;347 277 2583;https://www.acasadialberto.com/;FALSO;2483;bandbacasadialberto@gmail.com
A Casa di Alessandro;Vico Cesareo, 2, Tropea;{'location': {'lat': 38.6791405, 'lng': 15.8978321}, 'viewport': {'northeast': {'lat': 38.68048813029149, 'lng': 15.8992225802915}, 'southwest': {'lat': 38.67779016970849, 'lng': 15.89652461970849}}};ChIJk3ObSCBxFRMRJkuFJpCAXKA;49;80;0963 578501;;1;2483;x
A CASA DI ALICE;Via Roma, 33, Pulsano;{'location': {'lat': 40.3856454, 'lng': 17.3550188}, 'viewport': {'northeast': {'lat': 40.38704438029151, 'lng': 17.3563666802915}, 'southwest': {'lat': 40.38434641970851, 'lng': 17.3536687197085}}};ChIJ6VbBiLvjRhMRvIHdtIRUTJk;36;35;338 839 1890;https://hotel-detail.com/a-casa-di-alice-pulsano-italy;FALSO;2483;x
A Casa di Ana;Viale la Testa, 1, Bisceglie;{'location': {'lat': 41.2506628, 'lng': 16.4750074}, 'viewport': {'northeast': {'lat': 41.2519768302915, 'lng': 16.4765186802915}, 'southwest': {'lat': 41.2492788697085, 'lng': 16.4738207197085}}};ChIJ9yYZWIAHOBMRjyXXNHrVi4c;;;;http://www.labella-puglia.it/a-casa-di-ana/;FALSO;2483;x
A Casa di Angela;Via dei Mercanti, 58, Praia a Mare;{'location': {'lat': 39.902666, 'lng': 15.7812496}, 'viewport': {'northeast': {'lat': 39.90404138029149, 'lng': 15.7826539302915}, 'southwest': {'lat': 39.9013434197085, 'lng': 15.77995596970849}}};ChIJUVou2LrfPhMRo4hbBCzOJUk;48;22;349 837 6228;http://www.acasadiangela.com/;FALSO;2483;info@acasadiangela.com
A casa di Angela;Via Lecce, 7/Piano 4, Foggia;{'location': {'lat': 41.4571065, 'lng': 15.5531243}, 'viewport': {'northeast': {'lat': 41.45842353029149, 'lng': 15.5544462302915}, 'southwest': {'lat': 41.45572556970849, 'lng': 15.5517482697085}}};ChIJo4r_MlfYORMRbVGlX8wACzw;;;7720 1293;https://hotel-details.eu/a-casa-di-angela-foggia-italy;FALSO;2483;x
A Casa Di Donna Bruna;Via Temolo, 2, Taranto;{'location': {'lat': 40.41665510000001, 'lng': 17.222946}, 'viewport': {'northeast': {'lat': 40.4179992802915, 'lng': 17.22434083029151}, 'southwest': {'lat': 40.4153013197085, 'lng': 17.2216428697085}}};ChIJ5YdvEQ8dRxMRgxR6WjMtHY4;;;340 260 1881;http://airbnb.it/h/donnabruna;FALSO;2483;x
A casa di Elena;Via Positano, 10, Santa Maria di Leuca;{'location': {'lat': 39.80046160000001, 'lng': 18.3582813}, 'viewport': {'northeast': {'lat': 39.8018619302915, 'lng': 18.3596040802915}, 'southwest': {'lat': 39.79916396970851, 'lng': 18.3569061197085}}};ChIJkevk44r1QxMRsL7I-FBFLrs;42;16;335 707 2456;;1;2483;x
A casa di Emy by Holiday World;Via Adige, 28, Pulsano;{'location': {'lat': 40.3778942, 'lng': 17.3548783}, 'viewport': {'northeast': {'lat': 40.37929278029151, 'lng': 17.35622578029151}, 'southwest': {'lat': 40.37659481970851, 'lng': 17.3535278197085}}};ChIJ8WazKLrjRhMRaUzTt8RjgpI;;;;;1;2483;x
A Casa di Fede;Via Noicattaro, 12, Capurso;{'location': {'lat': 41.0458652, 'lng': 16.92556110000001}, 'viewport': {'northeast': {'lat': 41.04720203029149, 'lng': 16.9269033302915}, 'southwest': {'lat': 41.0445040697085, 'lng': 16.9242053697085}}};ChIJa1yqI9nBRxMR99isyY3U5_Y;5;8;324 990 6155;;1;2483;x
A Casa Di Gaia Bed And Breakfast;Via Ricciotti, 16, Vico del Gargano;{'location': {'lat': 41.8959995, 'lng': 15.9550014}, 'viewport': {'northeast': {'lat': 41.8972957302915, 'lng': 15.95633273029151}, 'southwest': {'lat': 41.8945977697085, 'lng': 15.9536347697085}}};ChIJwz5DAVmlNxMRKicJe9AOn60;46;41;349 564 3368;http://www.acasadigaia.it/;FALSO;2483;info@acasadigaia.it
a Casa di Gi';VIa Africa Orientale, 18, Margherita di Savoia;{'location': {'lat': 41.3746581, 'lng': 16.1503325}, 'viewport': {'northeast': {'lat': 41.3760365302915, 'lng': 16.1517315302915}, 'southwest': {'lat': 41.3733385697085, 'lng': 16.1490335697085}}};ChIJYTt1iyUgOBMRREP9CN6o6Ss;5;9;350 174 0830;;1;2483;x
A Casa di Lia;Viale Unità d'Italia, 172, Pulsano;{'location': {'lat': 40.3770906, 'lng': 17.3591059}, 'viewport': {'northeast': {'lat': 40.37843263029149, 'lng': 17.3605222802915}, 'southwest': {'lat': 40.37573466970849, 'lng': 17.3578243197085}}};ChIJ1aC3OMbjRhMRjAb1bwWTKlI;;;339 114 7788;;1;2483;x
A Casa Di Luca B&B;Via Caravaggio, 2, Diamante;{'location': {'lat': 39.6783073, 'lng': 15.8203071}, 'viewport': {'northeast': {'lat': 39.6797848302915, 'lng': 15.8216294802915}, 'southwest': {'lat': 39.6770868697085, 'lng': 15.8189315197085}}};ChIJV1q5q-UCPxMRveRLUrngsKg;43;72;340 801 6834;https://casa-di-luca.dtyhotel.com/;FALSO;2483;x
A casa di Malù;Via dei Mille, 13, Bari;{'location': {'lat': 41.1170765, 'lng': 16.87610249999999}, 'viewport': {'northeast': {'lat': 41.11842573029151, 'lng': 16.8774896802915}, 'southwest': {'lat': 41.11572776970851, 'lng': 16.8747917197085}}};ChIJ38gc4x3pRxMRqwr8U7OxuKM;48;10;339 525 3097;https://www.acasadimalu.it/;FALSO;2483;x
A Casa di Picci;Santa Barbara, Ricadi;{'location': {'lat': 38.6659502, 'lng': 15.8743523}, 'viewport': {'northeast': {'lat': 38.6673272802915, 'lng': 15.8756551302915}, 'southwest': {'lat': 38.6646293197085, 'lng': 15.87295716970849}}};ChIJd1Rl8sp2FRMREiTR1kTbWbE;48;36;339 465 7263;http://www.acasadipicci.com/;FALSO;2483;x
A casa di Raffi;Via Bulach, 6, Santeramo In Colle;{'location': {'lat': 40.7893174, 'lng': 16.7513331}, 'viewport': {'northeast': {'lat': 40.79066683029149, 'lng': 16.7526821302915}, 'southwest': {'lat': 40.78796886970849, 'lng': 16.7499841697085}}};ChIJhxiwXRSbRxMRxYxARbPbTGQ;41;9;348 774 3477;;1;2483;x
A Casa di Renata;Via Francesco Camposano, 9, Cosenza;{'location': {'lat': 39.3021411, 'lng': 16.2467324}, 'viewport': {'northeast': {'lat': 39.3034832302915, 'lng': 16.2481359802915}, 'southwest': {'lat': 39.3007852697085, 'lng': 16.2454380197085}}};ChIJRQWk5DWXPxMRAiAs0K9ibbg;45;22;338 258 4910;http://www.acasadirenata.com/;FALSO;2483;x
A casa di Sabry;Viale John Fitzgerald Kennedy, 77, Bari;{'location': {'lat': 41.1011993, 'lng': 16.8655328}, 'viewport': {'northeast': {'lat': 41.1024814302915, 'lng': 16.8668739302915}, 'southwest': {'lat': 41.0997834697085, 'lng': 16.86417596970849}}};ChIJyUyxXJXpRxMRF7Bk9WimwkQ;5;1;331 994 3700;https://a-casa-di-sabry.incantohotelsitalia.top/;FALSO;2483;x
A Casa di Teresa;Corso Umberto I, 8, Trecchina;{'location': {'lat': 40.026083, 'lng': 15.775312}, 'viewport': {'northeast': {'lat': 40.0274453302915, 'lng': 15.7767202802915}, 'southwest': {'lat': 40.0247473697085, 'lng': 15.7740223197085}}};ChIJlzopMgTYPhMREev1ACG8tno;36;18;339 667 5818;;1;2483;x
A casa di Tulla;Via Morelli E Silvati, 1, Bari;{'location': {'lat': 41.08519980000001, 'lng': 16.9995435}, 'viewport': {'northeast': {'lat': 41.0865294802915, 'lng': 17.0008859302915}, 'southwest': {'lat': 41.0838315197085, 'lng': 16.9981879697085}}};ChIJm9EfgrPDRxMRKt2p8xAmbvE;;;333 923 5656;;1;2483;x
A casa Letizia;Via Principe di Napoli, 43, Patù;{'location': {'lat': 39.8401938, 'lng': 18.3377537}, 'viewport': {'northeast': {'lat': 39.8415637802915, 'lng': 18.3390658802915}, 'southwest': {'lat': 39.8388658197085, 'lng': 18.3363679197085}}};ChIJjZIzRSkKRBMRj4Xv3RBkb5Y;5;1;;;1;2483;x
A casa Luxury;Vicolo Sant'Angelo, 16, Francavilla Fontana;{'location': {'lat': 40.52900189999999, 'lng': 17.5821804}, 'viewport': {'northeast': {'lat': 40.5303694302915, 'lng': 17.5838151802915}, 'southwest': {'lat': 40.5276714697085, 'lng': 17.5811172197085}}};ChIJLzy66In1RhMRxPQ0CzzN0cQ;49;82;389 192 6437;https://www.facebook.com/acasaluxury;FALSO;2483;x
A casa MIA;Corso Giovanni Jatta, Ruvo di Puglia;{'location': {'lat': 41.118161, 'lng': 16.4863263}, 'viewport': {'northeast': {'lat': 41.1194608302915, 'lng': 16.4876662802915}, 'southwest': {'lat': 41.1167628697085, 'lng': 16.4849683197085}}};ChIJdw023NQLOBMR8yTkthGIdh4;46;31;347 659 4522;;1;2483;x
A casa ventotto;Piazza Vittorio Emanuele II, 41, Mesagne;{'location': {'lat': 40.561144, 'lng': 17.8091152}, 'viewport': {'northeast': {'lat': 40.56251433029149, 'lng': 17.8104026302915}, 'southwest': {'lat': 40.5598163697085, 'lng': 17.8077046697085}}};ChIJtY8UuVViRhMRHLw_flEHFOw;5;59;389 900 8794;https://staid-hotel.com/a-casa-ventotto-italy;FALSO;2483;x
A dieci minuti dal mare;Via Tito Schipa, 10, Carpignano Salentino;{'location': {'lat': 40.1948202, 'lng': 18.3338604}, 'viewport': {'northeast': {'lat': 40.1961935802915, 'lng': 18.3351740802915}, 'southwest': {'lat': 40.1934956197085, 'lng': 18.3324761197085}}};ChIJDz4GEKg-RBMRK_LC6g0loH4;5;1;333 981 1734;https://www.booking.com/hotel/it/a-dieci-minuti-dal-mare.it.html;FALSO;2483;x
A Due Passi - Superior B&B;Via Antonio Gramsci, 28, Scalea;{'location': {'lat': 39.8094839, 'lng': 15.7910166}, 'viewport': {'northeast': {'lat': 39.8108349302915, 'lng': 15.7923922802915}, 'southwest': {'lat': 39.80813696970851, 'lng': 15.7896943197085}}};ChIJ8WuN1cEfPxMRk9m4pWeQjRY;5;4;348 553 4775;https://www.aduepassiscalea.it/;FALSO;2483;info@aduepassiscalea.it
A Due Passi B&B;Via Fratelli Mellone, 6, Taranto;{'location': {'lat': 40.4668608, 'lng': 17.2547008}, 'viewport': {'northeast': {'lat': 40.46819448029149, 'lng': 17.2561020802915}, 'southwest': {'lat': 40.46549651970849, 'lng': 17.2534041197085}}};ChIJKZyJLNsCRxMREYhNYqaqWGo;38;28;347 718 6264;;1;2483;x
A due passi dal ponte;Via Giuseppe Pisanelli, 30, Taranto;{'location': {'lat': 40.4684028, 'lng': 17.2429556}, 'viewport': {'northeast': {'lat': 40.4697403802915, 'lng': 17.2443696802915}, 'southwest': {'lat': 40.4670424197085, 'lng': 17.2416717197085}}};ChIJTTt_fScDRxMRg5LONmsK3cY;4;47;391 756 5600;http://www.aduepassidalpontetaranto.it/;FALSO;2483;info@aduepassidalpontetaranto.com
A' Giurranda;Contrada Acquavona, Platania;{'location': {'lat': 39.0175285, 'lng': 16.3313827}, 'viewport': {'northeast': {'lat': 39.0188335302915, 'lng': 16.3328751802915}, 'southwest': {'lat': 39.0161355697085, 'lng': 16.3301772197085}}};ChIJu-E8oM_vPxMRW2JaAKoxKsQ;43;263;0968 407015;;1;2483;x
A mare verde con il tuo cane;Via Rimembranze, Torre San Giovanni;{'location': {'lat': 39.9001525, 'lng': 18.0948624}, 'viewport': {'northeast': {'lat': 39.9014633802915, 'lng': 18.0962476302915}, 'southwest': {'lat': 39.8987654197085, 'lng': 18.0935496697085}}};ChIJX4MxU6cBRBMRZoVh_zt7sQI;5;1;329 690 4229;https://amareverdeconiltuocane.traveleto.com/;FALSO;2483;x
A Palazzo B&B;Via Ludovico Romanelli, Gagliano del Capo;{'location': {'lat': 39.8426351, 'lng': 18.3728475}, 'viewport': {'northeast': {'lat': 39.8439950302915, 'lng': 18.37419248029151}, 'southwest': {'lat': 39.8412970697085, 'lng': 18.3714945197085}}};ChIJRUS3ePILRBMRJR_MHzs_stg;49;37;347 078 4213;https://www.bbapalazzo.it/;FALSO;2483;info@bbapalazzo.it
A pochi passi da......;Via Doberdò, 10, Cosenza;{'location': {'lat': 39.2931953, 'lng': 16.2515762}, 'viewport': {'northeast': {'lat': 39.2945044802915, 'lng': 16.2529428802915}, 'southwest': {'lat': 39.2918065197085, 'lng': 16.2502449197085}}};ChIJTWSOtTKXPxMRH0V6VYyWX1s;47;6;388 757 4613;https://beb.it/apochipassidacosenza;FALSO;2483;x
A Stare;Via Sant'Andrea, 67, Molfetta;{'location': {'lat': 41.2055871, 'lng': 16.6000854}, 'viewport': {'northeast': {'lat': 41.20693893029151, 'lng': 16.6014469802915}, 'southwest': {'lat': 41.20424096970851, 'lng': 16.5987490197085}}};ChIJUVJn9qv5RxMRFlud0mZyENI;42;13;327 180 5293;https://beb.it/astare;FALSO;2483;x
A Taverna Intru u Vicu;Vico Terzo Indipendenza, 7, Belmonte Calabro;{'location': {'lat': 39.1603628, 'lng': 16.0779127}, 'viewport': {'northeast': {'lat': 39.1617117802915, 'lng': 16.0792616802915}, 'southwest': {'lat': 39.15901381970851, 'lng': 16.0765637197085}}};ChIJPz6cxMDAPxMRgBPCBAkkW1s;46;114;348 518 7612;https://atavernaintruvicu.com/;FALSO;2483;fra.alba79@libero.it
A un passo dal mare Lama;Circonvallazione dei Fiori, 45, Taranto;{'location': {'lat': 40.4078054, 'lng': 17.2546589}, 'viewport': {'northeast': {'lat': 40.4090941302915, 'lng': 17.2559850802915}, 'southwest': {'lat': 40.4063961697085, 'lng': 17.2532871197085}}};ChIJ09mG-4gdRxMRKh38XWnLZwI;5;1;376 164 6910;;1;2483;x
A volte in collina;Strada Noci Zona D, 317, Martina Franca;{'location': {'lat': 40.7207079, 'lng': 17.243167}, 'viewport': {'northeast': {'lat': 40.72209128029149, 'lng': 17.2443931802915}, 'southwest': {'lat': 40.71939331970849, 'lng': 17.2416952197085}}};ChIJIapas0qtRxMRziRoxytfw2o;5;13;333 261 8779;https://www.facebook.com/avolteincollina;FALSO;2483;x
A.D.1771;Via Monte Carmelo, 17, Bari;{'location': {'lat': 41.0425213, 'lng': 16.8855204}, 'viewport': {'northeast': {'lat': 41.04387123029149, 'lng': 16.8868830802915}, 'southwest': {'lat': 41.04117326970849, 'lng': 16.8841851197085}}};ChIJQRM7nj_qRxMR3V2PVlEHkyM;49;8;392 524 3983;;1;2483;x
卡武尔旅馆;Via Cavour, 4, Lecce;{'location': {'lat': 40.3511048, 'lng': 18.1756755}, 'viewport': {'northeast': {'lat': 40.3525569302915, 'lng': 18.17715928029151}, 'southwest': {'lat': 40.3498589697085, 'lng': 18.1744613197085}}};ChIJwaT-COMuRBMRFGcLI1F2FLs;33;3;328 187 8731;;1;2483;x
ABA;Amantea;{'location': {'lat': 39.1357969, 'lng': 16.0730192}, 'viewport': {'northeast': {'lat': 39.1372008302915, 'lng': 16.0743981802915}, 'southwest': {'lat': 39.1345028697085, 'lng': 16.0717002197085}}};ChIJnyE0TObBPxMRjiZ9-nePzGw;;;;;1;2483;x
Abate Masseria & Resort;Zona F, 83/C, Noci;{'location': {'lat': 40.778842, 'lng': 17.1268311}, 'viewport': {'northeast': {'lat': 40.7801916302915, 'lng': 17.1282100302915}, 'southwest': {'lat': 40.77749366970851, 'lng': 17.1255120697085}}};ChIJAcIpLt2vRxMRCy94YN13kQ4;46;512;080 497 8288;http://www.abatemasseria.it/;FALSO;2483;info@abatemasseria.it
